	precision	recall	f1-score	support
root:Engineered:Bioreactor	0.7	0.636	0.667	22
root:Engineered:Bioremediation:Terephthalate:Wastewater	1.0	1.0	1.0	9
root:Engineered:Built environment	1.0	0.889	0.941	9
root:Engineered:Food production	0.667	0.4	0.5	5
root:Engineered:Food production:Dairy products	1.0	1.0	1.0	4
root:Engineered:Food production:Fermented beverages	1.0	1.0	1.0	6
root:Engineered:Solid waste:Composting	1.0	0.75	0.857	4
root:Engineered:Wastewater	0.968	1.0	0.984	30
root:Engineered:Wastewater:Activated Sludge	0.8	0.8	0.8	10
root:Engineered:Wastewater:Water and sludge	1.0	0.889	0.941	9
root:Environmental:Aquatic:Estuary	0.5	0.333	0.4	3
root:Environmental:Aquatic:Estuary:Sediment	1.0	0.667	0.8	3
root:Environmental:Aquatic:Freshwater:Lake	0.8	0.8	0.8	5
root:Environmental:Aquatic:Freshwater:Sediment	1.0	1.0	1.0	4
root:Environmental:Aquatic:Lentic:Brackish	0.667	0.222	0.333	9
root:Environmental:Aquatic:Marine	0.867	0.935	0.9	139
root:Environmental:Aquatic:Marine:Intertidal zone:Estuary	0.667	0.8	0.727	5
root:Environmental:Aquatic:Marine:Oceanic	0.871	0.771	0.818	35
root:Environmental:Aquatic:Marine:Sediment	1.0	0.714	0.833	7
root:Environmental:Aquatic:Non-marine Saline and Alkaline:Salt crystallizer pond	1.0	1.0	1.0	4
root:Environmental:Terrestrial:Soil	1.0	0.929	0.963	28
root:Host-associated:Animal:Digestive system:Fecal	0.978	0.917	0.946	48
root:Host-associated:Birds	1.0	0.75	0.857	4
root:Host-associated:Birds:Digestive system	1.0	1.0	1.0	5
root:Host-associated:Birds:Digestive system:Ceca	1.0	0.714	0.833	7
root:Host-associated:Human	0.862	0.833	0.847	30
root:Host-associated:Human:Digestive system	0.896	0.884	0.89	362
root:Host-associated:Human:Digestive system:Intestine	0.857	0.769	0.811	39
root:Host-associated:Human:Digestive system:Large intestine	0.639	0.417	0.505	127
root:Host-associated:Human:Digestive system:Large intestine:Fecal	0.893	0.957	0.924	1477
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon	0.786	0.55	0.647	40
root:Host-associated:Human:Digestive system:Oral	0.889	0.571	0.696	14
root:Host-associated:Human:Digestive system:Oral:Saliva	1.0	0.625	0.769	8
root:Host-associated:Human:Skin	0.951	0.993	0.971	273
root:Host-associated:Human:Skin:Naris	1.0	0.833	0.909	12
root:Host-associated:Mammals	1.0	1.0	1.0	4
root:Host-associated:Mammals:Digestive system	1.0	0.824	0.903	17
root:Host-associated:Mammals:Digestive system:Fecal	1.0	0.273	0.429	22
root:Host-associated:Mammals:Digestive system:Foregut:Rumen	0.917	0.611	0.733	18
root:Host-associated:Mammals:Digestive system:Large intestine	1.0	0.941	0.97	17
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal	1.0	1.0	1.0	6
root:Host-associated:Mammals:Digestive system:Stomach:Rumen	1.0	1.0	1.0	4
root:Host-associated:Mammals:Gastrointestinal tract:Intestine:Fecal	0.917	1.0	0.957	22
root:Host-associated:Mammals:Respiratory system	1.0	1.0	1.0	6
root:Host-associated:Plants	1.0	0.667	0.8	6
root:Host-associated:Plants:Phylloplane	1.0	1.0	1.0	4
root:Host-associated:Plants:Rhizosphere	0.933	1.0	0.966	14
root:Mixed:Sediment:Sediment:Sediment	1.0	1.0	1.0	199
accuracy	0.901	0.901	0.901	0
macro avg	0.917	0.806	0.846	3135
weighted avg	0.898	0.901	0.895	3135
